date,servicer,odometer,what,interval,next
2003-03-15,? / carfax report,4215,vehicle serviced,,
2003-05-19,? / carfax report,5827,vehicle serviced,,
2003-09-19,? / carfax report,8750,vehicle serviced,,
2004-01-30,? / carfax report,12703,tires checked,,
2004-01-30,? / carfax report,12703,fluids checked,,
2004-01-30,? / carfax report,12703,oil change & oil filter replacement,,
2004-01-30,? / carfax report,12703,window tint installed,,
2004-01-30,? / carfax report,12703,smog check,,
2005-06-25,north carolina inspection station / carfax report,18962,smog check,,
2006-03-17,north carolina dmv / carfax report,20000,safety inspection,,
2006-04-18,north carolina inspection station / carfax report,23795,smog check,,
2007-02-27,north carolina inspection station / carfax report,27133,smog check,,
2008-03-19,north carolina dmv / carfax report,28000,safety inspection,,
2008-04-22,north carolina inspection station / carfax report,28735,smog check,,
2009-04-24,california inspection station / carfax report,32602,smog check,,
2012-05-26,california inspection station / carfax report,48311,smog check,,
2017-07-03,auto row smog & repair / carfax report,48390,smog check,,
2017-08-09,td garage / carfax report,48393,coolant flush,,
2019-06-23,buy,51223,"frank = 3rd owner, obtained car",,
2019-06-24,handyman auto repair,51296,smog check,2 years,2021-06
2019-07-02,self,51577,power steering fluid flush,30000,81577
2019-07-03,costco tire center,51642,tire replacement,based on condition,based on condition
2019-07-09,handyman auto repair,51745,timing belt replacement,105000,156745
2019-07-09,handyman auto repair,51745,water pump replacement,105000,156745
2019-07-09,handyman auto repair,51745,coolant flush,30000,81745
2019-07-26,morin tires,52269,front & rear strut replacement,105000,157269
2019-07-26,morin tires,52269,tire rotation,15000,67269
2019-07-26,morin tires,52269,wheel alignment,15000,67269
2019-07-31,shiny auto glass,52567,windshield chip repair,based on condition,based on condition
2019-10-09,handyman auto repair,54523,oil change & oil filter replacement,6000,60523
2020-01-22,handyman auto repair,57881,serpentine belt replacement,105000,162881
2020-01-22,handyman auto repair,57881,a/c belt replacement,105000,162881
2020-02-07,handyman auto repair,58156,p0301/p0303 cylinder 1/3 misfires,-,-
2020-07-17,handyman auto repair,59323,alternator replacement,based on condition,based on condition
2020-08-28,handyman auto repair,61080,oil change & oil filter replacement,6000,67080
2020-10-05,morin tires,61551,tire rotation,15000,76551
2020-10-05,morin tires,61551,wheel alignment,15000,76551
2021-01-08,handyman auto repair,66963,oil change & oil filter replacement,6000,72963
2021-04-16,handyman auto repair,71953,oil change & oil filter replacement,6000,77953
2021-07-02,handyman auto repair,75384,smog check,2 years,2023-06
2021-07-02,handyman auto repair,75390,fuel filter replacement,60000,135390
2021-07-02,handyman auto repair,75390,brake fluid flush,30000,105390
2021-07-02,handyman auto repair,75390,clutch fluid flush,30000,105390
2021-07-02,handyman auto repair,75390,oil change & oil filter replacement,6000,81390
2021-07-21,handyman auto repair,76487,a/c compressor replacement,based on condition,based on condition
2021-07-21,handyman auto repair,76487,a/c freon recharge,based on condition,based on condition
2021-07-21,handyman auto repair,76487,spark plug replacement,60000,136487
2021-07-26,handyman auto repair,76709,upstream air fuel sensor 1 replacement,based on condition,based on condition
2021-11-12,handyman auto repair,81806,oil change & oil filter replacement,6000,87806
2022-02-11,handyman auto repair,84000,p0301/p0303 cylinder 1/3 misfires,-,-
2022-03-06,handyman auto repair,85216,p0301/p0303 cylinder 1/3 misfires,-,-
2022-03-29,handyman auto repair,86395,oil change & oil filter replacement,6000,92395
2022-03-29,handyman auto repair,86404,battery replacement,6 years,2028-03
2022-05-17,garage one subaru workshop,89276,reinstall front strut top hats,-,-
2022-05-17,garage one subaru workshop,89276,front axle replacement,based on condition,based on condition
2022-05-17,garage one subaru workshop,89276,front & rear sway bar end link replacement,based on condition,based on condition
2022-05-17,garage one subaru workshop,89276,tire rotation,30000,119276
2022-05-17,garage one subaru workshop,89276,wheel alignment,30000,119276
2022-05-26,handyman auto repair,89970,radiator & cap replacement,based on condition,based on condition
2022-05-26,handyman auto repair,89970,thermostat replacement,based on condition,based on condition
2022-05-26,handyman auto repair,89970,radiator hose upper & lower replacement,based on condition,based on condition
2022-05-26,handyman auto repair,89970,coolant flush,75000,164970
2022-05-26,handyman auto repair,89970,air filter replacement,100000,189970
2022-06-04,self,90578,headlights & cornering bulb replacement,based on condition,based on condition
